Afghanistan	Afghan
Albania	Albanian
Algeria	Algerian
Andorra	Andorran
Angola	Angolan
Anguilla	Anguillan
Argentina	Argentine
Armenia	Armenian
Australia	Australian
Austria	Austrian
Azerbaijan	Azerbaijani
Bahamas	Bahamian
Bahrain	Bahraini
Bangladesh	Bangladeshi
Barbados	Barbadian
Belarus	Belarusian
Belgium	Belgian
Belize	Belizean
Benin	Beninese
Bermuda	Bermudian
Bhutan	Bhutanese
Bolivia	Bolivian
Bosnia Bosnian
Brazil	Brazilian
Brunei	Bruneian
Bulgaria	Bulgarian
Burkina Faso	Burkinabe
Burundi	Burundian
Cambodia	Cambodian
Cameroon	Cameroonian
Canada	Canadian
Chad	Chadian
Chile	Chilean
China	Chinese
Colombia	Colombian
Comoros	Comoran
Croatia	Croat
Cuba	Cuban
Cyprus	Cypriot
Ecuador	Ecuadorean
Egypt	Egyptian
Salvador	Salvadoran
England	English
Eritrea	Eritrean
Estonia	Estonian
Ethiopia	Ethiopian
Fiji	Fijian
France	French
Gabon	Gabonese
The Gambia	Gambian
Georgia	Georgian
Germany	German
Ghana	Ghanaian
Greece	Greek
Greenland	Greenlander
Grenada	Grenadan
Guadeloupe	Guadeloupean
Guatemala	Guatemalan
Guinea	Guinean
Guyana	Guyanese
Haiti	Haitian
Honduras	Honduran
Hungary	Hungarian
Iceland	Icelander
India	Indian
Indonesia	Indonesian
Iran	Iranian
Iraq	Iraqi
Israel	Israeli
Italy	Italian
Jamaica	Jamaican
Japan	Japanese
Jordan	Jordanian
Kazakhstan	Kazakhstani
Kenya	Kenyan
Kuwait	Kuwaiti
Kyrgyz Kyrgyzstani
Laos	Laotian
Latvia	Latvian
Lebanon	Lebanese
Lesotho	Mosotho
Liberia	Liberian
Libya	Libyan
Liechtenstein	Liechtensteiner
Lithuania	Lithuanian
Luxembourg	Luxembourger
Macedonia	Macedonian
Madagascar	Malagasy
Malawi	Malawian
Malaysia	Malaysian
Maldives	Maldivan
Mali	Malian
Malta	Maltese
Mauritania	Mauritanian
Mauritius	Mauritian
Mayotte	Mahorais
Mexico	Mexican
Micronesia	Micronesian
Moldova	Moldovan
Monaco	Monacan
Mongolia	Mongolian
Montserrat	Montserratian
Morocco	Moroccan
Mozambique	Mozambican
Myanmar Burmese
Namibia	Namibian
Nauru	Nauruan
Nepal	Nepalese
Netherlands	Dutch
Nicaragua	Nicaraguan
Niger	Nigerien
Nigeria	Nigerian
Norway	Norwegian
Oman	Omani
Pakistan	Pakistani
Palau	Palauan
Palestine	Palestinian
Panama	Panamanian
Paraguay	Paraguayan
Peru	Peruvian
Philippines	Filipino
Portugal	Portuguese
Qatar	Qatari
Reunion	Reunionese
Romania	Romanian
Russia	Russian
Rwanda	Rwandan
Samoa	Samoan
Scotland	Scottish
Senegal	Senegalese
Serbia Serbian
Seychelles	Seychellois
Singapore	Singaporean
Slovakia	Slovak
Slovenia	Slovene
Somalia	Somali
Africa	African
America American
Spain	Spaniard
Sudan	Sudanese
Suriname	Surinamer
Swaziland	Swazi
Sweden	Swede
Switzerland	Swiss
Syria	Syrian
Taiwan	Taiwanese
Tajikistan	Tajik
Tanzania	Tanzanian
Thailand	Thai
Togo	Togolese
Tonga	Tongan
Trinidad Trinidadian
Tunisia	Tunisian
Turkey	Turk
Turkmenistan	Turkmen
Tuvalu	Tuvaluan
Uganda	Ugandan
Ukraine	Ukrainian
Uruguay	Uruguayan
Uzbekistan	Uzbek
Venezuela	Venezuelan
Vietnam	Vietnamese
Wales	Welsh
Yemen	Yemeni
Zambia	Zambian
Zimbabwe	Zimbabwean
