,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
word,many,christians,attend,services,friday,to,pray,and,reflect,on,the,execution,of,jesus,near,jerusalem,nearly,2000,years,ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,JJ,NNPS,NN,NNS,NNP,TO,VB,CC,VB,IN,DT,NN,IN,NNP,IN,NNP,RB,CD,NNS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,B-geo,O,B-geo,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,B-gpe,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,B-tim,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,in,2005,",",islamic,militants,killed,at,least,15,government,troops,in,a,june,attack,on,a,military,post,near,the,border,with,mali,,,,,,,,,,,,,,,,,,,,,,,,
pos,IN,CD,",",NNP,NNS,VBD,IN,JJS,CD,NN,NNS,IN,DT,NNP,NN,IN,DT,JJ,NN,IN,DT,NN,IN,NNP,,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-tim,O,B-geo,O,O,O,O,O,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,O,B-geo,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,O,B-gpe,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
word,he,said,it,is,the,international,community,'s,duty,to,prevent,any,nuclear,tests,on,the,korean,peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,PRP,VBD,PRP,VBZ,DT,JJ,NN,POS,NN,TO,VB,DT,JJ,NNS,IN,DT,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-gpe,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-gpe,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,the,jamaican,economy,is,heavily,dependent,on,services,",",which,now,account,for,more,than,60,%,of,gdp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,JJ,NN,VBZ,RB,JJ,IN,NNS,",",WDT,RB,VBP,IN,JJR,IN,CD,NN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,the,pontiff,made,the,comments,in,french,saturday,as,he,accepted,a,political,courage,award,from,a,french,catholic,television,station,and,french,political,magazine,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,NN,VBD,DT,NNS,IN,NNP,NNP,IN,PRP,VBD,DT,JJ,NN,NN,IN,DT,JJ,JJ,NN,NN,CC,JJ,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,B-art,B-tim,O,O,O,O,O,O,O,O,O,B-gpe,O,O,O,O,B-gpe,O,O,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,B-gpe,B-tim,O,O,O,O,O,O,O,O,O,B-gpe,O,O,O,O,B-gpe,O,O,,,,,,,,,,,,,,,,,,,,,,,
