,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
word,candid,camera,,,,,,,,,,,,,,,,,,,,,,,
true,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,,,,,,,,,,,,,,,,,,,,,,,
skip, , ,,,,,,,,,,,,,,,,,,,,,,,
word,we,can,now,make,the,link,between,this,model,of,adolescent,development,and,subject,choice,in,schools,,,,,,,,
true,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,
word,as,at,all,his,power,stations,scott,faced,the,building,in,a,fine,worcestershire,brick,that,has,weathered,to,a,lovely,pinky-brown,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,
word,the,uk,esrc,supported,the,work,of,the,south,east,regional,research,laboratory,in,birkbeck,college,university,of,london,from,which,this,review,has,grown
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,yeah,it's,a,lovely,from,erm,avon,for,anne,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
skip, , , , , , , , , ,,,,,,,,,,,,,,,,
word,the,urgency,of,the,events,following,balfour's,resignation,was,due,to,the,need,to,find,a,new,leader,before,the,national,union,conference,,
true,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,
word,alas,disclaimers,may,work,if,for,example,the,property,being,valued,is,industrial,or,an,expensive,house,,,,,,,,
